go_id	go_name	num_genes	num_seq	adj_rsq	rsq_pile	rsq_nlpval	frac_seq	log_day_error	log_day_error_percent	log_day_est	log_day_est_pile	log_day_pval	mianserin_error	mianserin_error_percent	mianserin_est	mianserin_est_pile	mianserin_pval	score
GO:0000018	regulation of DNA recombination	10	10	0.5463934369847427	37.31	0.2028017301610411	1.0	0.01902291541716925	23.883691661690328	0.07964813684009406	4.2299999999999995	0.0006188005380359911	0.029472686927223705	26.616939490580005	-0.11072906010720872	84.28999999999999	0.0015708454748504506	0.2957961889042941
GO:0000027	ribosomal large subunit assembly	18	18	0.5147287607042375	10.66	0.04895405186418023	1.0	0.018262893270480876	24.57299596756724	0.07432098753682792	0.41000000000000003	0.00079764149735713	0.028295165275264617	29.491807529489183	-0.09594245875561194	93.25	0.0034765132355216465	0.08108947901249669
GO:0000028	ribosomal small subunit assembly	13	13	0.4730930344991592	26.75	0.13519237097385298	1.0	0.006575425970803003	27.078079923642097	0.024283206155477605	0.5700000000000001	0.0018049681676129445	0.010187474779796457	30.74706632382929	-0.03313316032333485	93.04	0.004688125119861924	0.16900522983873612
GO:0000041	transition metal ion transport	30	22	0.8195203740566639	70.35	0.5279753022997185	0.7333333333333333	0.0459379061747651	10.722788379736484	0.428413809430174	75.57000000000001	4.263055837305127e-08	0.07117276700705116	27.349411611553986	-0.26023509396810435	63.449999999999996	0.001954420645529517	1.3376202088955582
GO:0000045	autophagosome assembly	23	22	0.2776829026330441	1.96	0.008596697419959663	0.9565217391304348	0.023086680198359917	36.9271759688381	0.06251948488517556	0.18	0.014922620536625582	0.03576878111233536	47.77669705987002	-0.07486658415819898	94.74000000000001	0.05164754959057593	0.032845751497918164
GO:0000070	mitotic sister chromatid segregation	38	37	0.6944609168344741	12.64	0.05868737463933802	0.9736842105263158	0.01419147093479441	18.035797156849327	0.07868502185613135	0.0	3.566036082596705e-05	0.021987207046112737	19.31983758831394	-0.1138063761954822	95.41	7.594507274005567e-05	0.07909347879040766
GO:0000075	cell cycle checkpoint	29	27	0.677756790364	17.849999999999998	0.08539243222891947	0.9310344827586207	0.012607560794620522	19.946723744971244	0.06320617338373179	0.02	0.00010655977539365192	0.019533214760573438	18.795473431462113	-0.1039251010718166	94.82000000000001	5.636513698913191e-05	0.10857934882941019
GO:0000077	DNA damage checkpoint	16	15	0.4470889997589502	6.61	0.029699624597822306	0.9375	0.01825746780158865	37.36478942124878	0.04886276112988318	0.04	0.015943313054454216	0.028286759458249336	26.276452285037855	-0.10765060348103453	92.29	0.0014132835563587273	0.06471873115648452
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	15	14	0.7327203926924111	71.07	0.5386515663520169	0.9333333333333333	0.027005643651692588	14.79214089668198	0.18256751230479568	25.94	3.332364494032268e-06	0.04184053091547321	21.553954059453993	-0.19411997817227009	69.25	0.00023447873726077173	0.8286480809021071
GO:0000096	sulfur amino acid metabolic process	23	18	0.6716879732816823	30.270000000000003	0.15658033479508168	0.782608695652174	0.017882253748091256	15.935253984966579	0.11221819096803533	2.1399999999999997	8.376459936777451e-06	0.02770543077718701	34.526807641758936	-0.08024324479879885	94.35	0.010040984859677	0.1912332188702121
