wormbase_id	avg_sample_exp_ile	var_sample_exp_ile	var_ile	gene_symbol	orf_id
WBGene00004477	99.68699011409106	0.005100290848606322	0.0	rps-8	F42C5.8
WBGene00004416	99.76152150806031	0.009506775967400348	0.010477787091366304	rpl-5	F54C9.5
WBGene00004497	99.75689284964002	0.010637556303669042	0.020955574182732608	rps-28	Y41D4B.5
WBGene00009119	99.54483567357457	0.014629500335456729	0.03143336127409891	ndk-1	F25H2.5
WBGene00004452	99.52755935340896	0.015756968663466146	0.041911148365465216	rpl-38	C06B8.8
WBGene00004450	99.7894720952747	0.015907486377557525	0.052388935456831515	rpl-36	F37C12.4
WBGene00004429	99.72223771718268	0.01744381795120301	0.06286672254819782	rpl-17	Y48G8AL.8
WBGene00004409	99.75094853026688	0.017637192677263245	0.07334450963956413	rla-1	Y37E3.7
WBGene00004479	99.51961844816677	0.020580057905388947	0.08382229673093043	rps-10	D1007.6
WBGene00004432	99.59356036441032	0.026531884531303902	0.09430008382229674	rpl-20	E04A4.8
WBGene00004415	99.51639460145647	0.027625846395358523	0.10477787091366303	rpl-4	B0041.4
WBGene00004436	99.71658764212663	0.027923492411977592	0.11525565800502932	rpl-24.1	D1007.12
WBGene00001386	99.8764562032348	0.029745721921585012	0.12573344509639564	far-2	F02A9.3
WBGene00009122	99.41157978344413	0.03177445822683036	0.13621123218776193	tct-1	F25H2.11
WBGene00004490	99.70143630109388	0.03411208328634667	0.14668901927912825	rps-21	F37C12.11
WBGene00004434	99.38190759181882	0.036457875378167304	0.15716680637049454	rpl-22	C27A2.2
WBGene00004419	99.40212462654242	0.03803334146091869	0.16764459346186086	rpl-7A	Y24D9A.4
WBGene00004418	99.78148260024845	0.04387514611607499	0.17812238055322716	rpl-7	F53G12.10
WBGene00004493	99.76012125342605	0.04778678241877716	0.18860016764459347	rps-24	T07A9.11
WBGene00021350	99.45991869377825	0.05023130907972396	0.19907795473595977		Y37E3.8
WBGene00004496	99.63866832834036	0.05331572824576296	0.20955574182732606	rps-27	F56E10.4
WBGene00004486	99.33856056089851	0.05332511185499837	0.22003352891869238	rps-17	T08B2.10
WBGene00011156	98.8682190958064	0.05552191980738762	0.23051131601005864		R09B3.3
WBGene00001385	99.53325775900551	0.05713381145237795	0.24098910310142496	far-1	F02A9.2
WBGene00004456	99.65014432150612	0.058857074307706266	0.2514668901927913	rpl-43	Y48B6A.2
WBGene00004424	99.45781459293964	0.06818844597614886	0.2619446772841576	rpl-12	JC8.3
WBGene00004414	99.32971631526227	0.07346059353561805	0.27242246437552387	rpl-3	F13B10.2
WBGene00004474	99.38241175278641	0.07346228868808209	0.2829002514668902	rps-5	T05E11.1
WBGene00008920	99.20303807066314	0.07706819627644089	0.2933780385582565	eef-1G	F17C11.9
WBGene00004484	99.46937526926445	0.07783071198207235	0.3038558256496228	rps-15	F36A2.6
WBGene00004408	99.81877310045522	0.0800035787353533	0.3143336127409891	rla-0	F25H2.10
WBGene00017166	99.55427935653141	0.08269767412422566	0.3248113998323554	aldo-2	F01F1.12
WBGene00001168	99.6212550632596	0.0889336675577419	0.3352891869237217	eef-1A.1	F31E3.5
WBGene00011561	99.22719072699411	0.09268348637059748	0.34576697401508805	ttr-15	T07C4.5
WBGene00004473	99.63128514107214	0.09442898834475133	0.3562447611064543	rps-4	Y43B11AR.4
WBGene00018846	99.29161105663044	0.09899382413726966	0.36672254819782063	eef-1B.1	F54H12.6
WBGene00004417	99.3058636191815	0.10753126146790344	0.37720033528918695	rpl-6	R151.3
WBGene00004446	99.31958224886952	0.11559672633118936	0.3876781223805532	rpl-32	T24B8.1
WBGene00004431	99.18020567492327	0.14068041958735356	0.39815590947191953	rpl-19	C09D4.5
WBGene00004428	99.44340896400793	0.1452860135517381	0.40863369656328585	rpl-16	M01F1.2
WBGene00006439	99.412398794237	0.14634782299608273	0.4191114836546521	ant-1.1	T27E9.1
WBGene00004478	99.36329204613986	0.14644347760980844	0.42958927074601844	rps-9	F40F8.10
WBGene00002005	99.50264666902645	0.14783498841301565	0.44006705783738476	hsp-1	F26D10.3
WBGene00004444	99.0582575448636	0.14813766697516656	0.450544844928751	rpl-30	Y106G6H.3
WBGene00004498	98.78755289263434	0.15106724398772836	0.4610226320201173	rps-29	B0412.4
WBGene00004425	99.41255312878296	0.15364050530396264	0.47150041911148366	rpl-13	C32E8.2
WBGene00004495	99.71734233440435	0.1612269378745201	0.4819782062028499	rps-26	F39B2.6
WBGene00006537	98.8199505391383	0.16224134098797263	0.4924559932942163	tbb-2	C36E8.5
WBGene00004482	99.30095652884899	0.1637427098911779	0.5029337803855826	rps-13	C16A3.9
WBGene00004442	98.64281125191435	0.16418151021748736	0.5134115674769488	rpl-28	R11D1.8
WBGene00004485	99.23705045761923	0.17248645101084292	0.5238893545683152	rps-16	T01C3.6
WBGene00004469	99.30007342009142	0.1893884546061083	0.5343671416596815	rps-0	B0393.1
WBGene00000915	99.25830732494305	0.1910532781368302	0.5448449287510477	daf-21	C47E8.5
WBGene00004433	99.28862395585855	0.19859850574445762	0.5553227158424141	rpl-21	C14B9.7
WBGene00004448	99.14497715960447	0.20394238985555085	0.5658005029337804	rpl-34	C42C1.14
WBGene00004427	99.57582052211984	0.21858947836745865	0.5762782900251467	rpl-15	K11H12.2
WBGene00022336	98.88058025184783	0.22401484993273058	0.586756077116513		Y82E9BR.3
WBGene00009688	98.10424157444594	0.23176462630496625	0.5972338642078793		F44E5.1
WBGene00004435	99.35569517496748	0.23194858903204746	0.6077116512992456	rpl-23	B0336.10
WBGene00004488	99.06363390904501	0.2416734728581204	0.6181894383906119	rps-19	T05F1.3
WBGene00011232	98.86017519010807	0.24362358963981312	0.6286672254819782	pck-2	R11A5.4
WBGene00004481	99.4775805956599	0.24904028525910576	0.6391450125733446	rps-12	F54E7.2
WBGene00004483	99.4660864520609	0.25906215518157744	0.6496227996647108	rps-14	F37C12.9
WBGene00004491	98.78840165210684	0.2623476621931244	0.6601005867560772	rps-22	F53A3.3
WBGene00007458	99.42980058730745	0.28462121283497044	0.6705783738474435		C08F11.11
WBGene00004447	99.00576613732379	0.29835159033390535	0.6810561609388097	rpl-33	F10E7.7
WBGene00004413	99.34125311796578	0.33728355492837214	0.6915339480301761	rpl-2	B0250.1
WBGene00006528	98.6624004278099	0.351657025118847	0.7020117351215424	tba-1	F26E4.8
WBGene00002254	99.31410548343855	0.3785559383491683	0.7124895222129086	lbp-2	F40F4.2
WBGene00006434	98.38501920929318	0.3819098398809064	0.722967309304275	prdx-2	F09E5.15
WBGene00008572	99.46377429474092	0.4054620898539118	0.7334450963956413		F08B12.4
WBGene00010419	98.48621514713074	0.4059150353111313	0.7439228834870076		H28O16.1
WBGene00001167	98.53415882811672	0.44499584860349944	0.7544006705783739	eef-2	F25H5.4
WBGene00000881	98.17494781454194	0.4461526723951441	0.7648784576697402	cyn-5	F31C3.1
WBGene00004499	98.91852027126063	0.4630874107907812	0.7753562447611064	rps-30	C26F1.4
WBGene00044080	99.05144112781191	0.46566627574325775	0.7858340318524728		D1086.10
WBGene00004420	99.17681462677187	0.4936755140597108	0.7963118189438391	rpl-9	R13A5.8
WBGene00000219	99.23694320044225	0.5023618950616784	0.8067896060352053	asp-6	F21F8.7
WBGene00004441	98.97061502409647	0.5183584377912388	0.8172673931265717	rpl-27	C53H9.1
WBGene00000534	98.22984553510683	0.5412307559829923	0.827745180217938	cpi-2	R01B10.1
WBGene00003063	98.44430302048468	0.5882671196471461	0.8382229673093042	lpd-7	R13A5.12
WBGene00004492	98.96834966507164	0.6114770792542156	0.8487007544006706	rps-23	F28D1.7
WBGene00004449	98.99989035594453	0.627160932154426	0.8591785414920369	rpl-35	ZK652.4
WBGene00006930	99.54411163732878	0.6275445285785579	0.8696563285834032	vit-6	K07H8.6
WBGene00004443	98.34357446730714	0.6290499870275793	0.8801341156747695	rpl-29	B0513.3
WBGene00018491	97.76080674460759	0.6603797443392694	0.8906119027661358	mdh-1	F46E10.10
WBGene00004798	99.69543263913374	0.6725721085774625	0.901089689857502	sip-1	F43D9.4
